canon_key,phrase_norm,freq,row_id
polyurethane padding,polyurethane padding,4,348
processor frame,processor frame,4,349
punk rock bands,punk rock bands,4,350
purely functional frames,purely functional frames,4,351
pvc foam handle,pvc foam handle,4,352
rear-wheel drive and switchable front-wheel drive,rear-wheel drive and switchable front-wheel drive,4,353
reclinable leather seats,reclinable leather seats,4,354
reclining,reclining,4,355
reclining seats,reclining seats,4,356
rectangular base,rectangular base,4,357
reference frame,reference frame,4,358
regular zigzag skew -gon base vertices,regular zigzag skew -gon base vertices,4,359
reserved seat cars,reserved seat cars,4,360
rigid frame,rigid frame,4,361
robust frames,robust frames,4,362
robust leg,robust leg,4,363
rock climbing,rock climbing,4,364
rock dust,rock dust,4,365
rock stacks,rock stacks,4,366
rocket-powered ejection seats,rocket-powered ejection seats,4,367
rugged frame,rugged frame,4,368
same height,same height,4,369
scotchgard fabric protection,scotchgard fabric protection,4,370
seat belt,seat belt,4,371
seat warmers,seat warmers,4,372
side break,side break,4,373
sloping seating,sloping seating,4,374
small chairs,small chairs,4,375
smooth wooden or metal wheel,smooth wooden or metal wheel,4,376
soft seats,soft seats,4,377
some base,some base,4,378
some racing frames,some racing frames,4,379
spectator seating,spectator seating,4,380
spindle or spinning wheel,spindle or spinning wheel,4,381
starch break,starch break,4,382
steering wheel,steering wheel,4,383
strong industrial base,strong industrial base,4,384
supervenience base,supervenience base,4,385
tapered seats,tapered seats,4,386
technical base,technical base,4,387
tension adjust,tension adjust,4,388
these seats,these seats,4,389
three-person bench seat,three-person bench seat,4,390
three-point seat belts,three-point seat belts,4,391
thumb left mig-23 wing-sweep mechanism,thumb left mig-23 wing-sweep mechanism,4,392
two 37mm bk 3 7 anti-tank guns,two 37mm bk 3 7 anti-tank guns,4,393
two curving legs,two curving legs,4,394
two longitudinal seats,two longitudinal seats,4,395
two steered wheels,two steered wheels,4,396
two swivel guns,two swivel guns,4,397
unflanged wheels,unflanged wheels,4,398
unit bend,unit bend,4,399
unstable isotopes,unstable isotopes,4,400
up to 30 degrees,up to 30 degrees,4,401
upholstery,upholstery,4,402
us base commander,us base commander,4,403
variable-length frames,variable-length frames,4,404
velour fabric,velour fabric,4,405
wheel brakes,wheel brakes,4,406
wheel hub,wheel hub,4,407
wheel traps,wheel traps,4,408
wheel-tran,wheel-trans,4,409
wide base,wide base,4,410
window frames,window frames,4,411
wooden spoken wheels,wooden spoken wheels,4,412
worn-out fabric,worn-out fabric,4,413
-height short descenders,-height short descenders,3,414
1-1 seating,1-1 seating,3,415
110m hurdles leg,110m hurdles leg,3,416
115 mm,115 mm,3,417
15 seats,15 seats,3,418
16 wheels,16 wheels,3,419
2 000 kg,2 000 kg,3,420
2 2 seating arrangement,2 2 seating arrangement,3,421
2 3 mm,2 3 mm,3,422
2 700 7.62 51mm nato machine gun round,2 700 7.62 51mm nato machine gun round,3,423
2 legs,2 legs,3,424
2+1 seating,2+1 seating,3,425
2.5 xt limited added leather upholstery,2.5 xt limited added leather upholstery,3,426
203 170 mm,203 170 mm,3,427
21 inches,21 inches,3,428
22 oerlikon 20 mm cannon,22 oerlikon 20 mm cannon,3,429
24 bofors 40 mm gun,24 bofors 40 mm gun,3,430
24 frame s systems,24 frame s systems,3,431
25 frame s,25 frame s,3,432
29.97 frames,29.97 frames,3,433
3 x 23 mm nr-23 cannons,3 x 23 mm nr-23 cannons,3,434
30 frame s,30 frame s,3,435
30 mm autocannon,30 mm autocannon,3,436
30-gallon class a foam injection system,30-gallon class a foam injection system,3,437
45 mm armament,45 mm armament,3,438
45-degree angled bracket serifs,45-degree angled bracket serifs,3,439
450 seats,450 seats,3,440
47mm calibre,47mm calibre,3,441
5 frames,5 frames,3,442
5.56 45mm,5.56 45mm,3,443
5.56 mm,5.56 mm,3,444
50-seat aircraft,50-seat aircraft,3,445
58 degrees,58 degrees,3,446
6-wheel main units,6-wheel main units,3,447
65 degrees,65 degrees,3,448
660 20 139 mm cannon rounds,660 20 139 mm cannon rounds,3,449
7 base units,7 base units,3,450
7 mm mauser m1893 rifles,7 mm mauser m1893 rifles,3,451
7 seats,7 seats,3,452
75 frames,75 frames,3,453
9 19mm parabellum,9 19mm parabellum,3,454
9 mm parabellum heckler,9 mm parabellum heckler,3,455
9mm para,9mm para,3,456
about 12 mm,about 12 mm,3,457
about 20 to 60 base pairs,about 20 to 60 base pairs,3,458
accumulated loose rock debris,accumulated loose rock debris,3,459
acid base,acid base,3,460
additional outdoor seating,additional outdoor seating,3,461
adjustable height settings,adjustable height settings,3,462
adjustable steering wheel,adjustable steering wheel,3,463
adjustment method,adjustment method,3,464
adjustment shares,adjustment shares,3,465
all four wheels,all four wheels,3,466
all-wheel steering,all-wheel steering,3,467
alloy wheels,alloy wheels,3,468
also some 4-seat compartments,also some 4-seat compartments,3,469
aluminium or other base metal,aluminium or other base metal,3,470
aluminum frames,aluminum frames,3,471
another frame,another frame,3,472
any inertial frame,any inertial frame,3,473
approximately 2.7 billion base pairs,approximately 2.7 billion base pairs,3,474
approximately 3 billion base pairs,approximately 3 billion base pairs,3,475
armrest,armrest,3,476
at least one cylinder,at least one cylinder,3,477
authentication frame,authentication frame,3,478
back rest,back rest,3,479
backless chairs,backless chairs,3,480
ballistic adjustment,ballistic adjustment,3,481
barrier break,barrier break,3,482
base bleed,base bleed,3,483
base camp,base camp,3,484
base construction,base construction,3,485
base crown victori,base crown victori,3,486
base field,base field,3,487
base form,base form,3,488
base length,base length,3,489
base scheme,base scheme,3,490
base-building,base-building,3,491
base-point,base-point,3,492
base-poor status,base-poor status,3,493
bench front seat,bench front seat,3,494
bench lathe,bench lathe,3,495
big hind legs,big hind legs,3,496
black base,black base,3,497
black steel wheels,black steel wheels,3,498
both daisy wheel printers,both daisy wheel printers,3,499
brightly painted leather,brightly painted leather,3,500
british 105mm l7,british 105mm l7,3,501
british road wheel makers,british road wheel makers,3,502
broken arm,broken arm,3,503
broken chips,broken chips,3,504
bubblets tilt,bubblets tilt,3,505
bulky frames,bulky frames,3,506
canvas seating,canvas seating,3,507
captain seats,captain seats,3,508
caster semenya,caster semenya,3,509
characteristically short but robust legs,characteristically short but robust legs,3,510
class 0 protostar,class 0 protostar,3,511
class b foam,class b foam,3,512
cloth upholstery,cloth upholstery,3,513
common base model,common base model,3,514
conjugate base,conjugate base,3,515
coordinates frames,coordinates frames,3,516
crossed splayed legs,crossed splayed legs,3,517
crowded seating,crowded seating,3,518
crushed rock,crushed rock,3,519
cushion capitals,cushion capitals,3,520
cushion pads,cushion pads,3,521
custard base,custard base,3,522
cylinder heads,cylinder heads,3,523
daphne odjigdaphne odjig base,daphne odjigdaphne odjig base,3,524
defense mechanism,defense mechanism,3,525
deluxe steering wheels,deluxe steering wheels,3,526
different frame,different frame,3,527
dos- -dos seating arrangement,dos- -dos seating arrangement,3,528
dropped frame,dropped frame,3,529
durable cylinder bore,durable cylinder bore,3,530
each leg,each leg,3,531
eight legs,eight legs,3,532
eighteen-seat student senate,eighteen-seat student senate,3,533
ejector seats,ejector seats,3,534
endoscopic strip craniectomy,endoscopic strip craniectomy,3,535
established user base,established user base,3,536
europe business class seats,europe business class seats,3,537
fabric rolls,fabric rolls,3,538
family seat,family seat,3,539
fast but too low-level,fast but too low-level,3,540
fiber break locators,fiber break locators,3,541
field break,field break,3,542
first base,first base,3,543
first cylinder fires,first cylinder fires,3,544
first seat,first seat,3,545
first tilting dmu,first tilting dmu,3,546
five-seat prius v,five-seat prius v,3,547
fixed frame,fixed frame,3,548
flavoured gelatine base,flavoured gelatine base,3,549
flexure mechanism,flexure mechanism,3,550
former green class seats,former green class seats,3,551
four seats,four seats,3,552
four tallest ottoman minarets,four tallest ottoman minarets,3,553
four twin rubber-covered road wheels,four twin rubber-covered road wheels,3,554
four vertical legs,four vertical legs,3,555
four-wheel drive capability,four-wheel drive capability,3,556
four-wheel drives,four-wheel drives,3,557
fourteen water wheels,fourteen water wheels,3,558
