canon_key,phrase_norm,freq,row_id
typically 4 5 inches,typically 4 5 inches,2,606
umbrella cloth,umbrella cloth,2,607
umbrella plant,umbrella plant,2,608
unsightly rust stains,unsightly rust stains,2,609
valens rx6 stretcher,valens rx6 stretcher,2,610
varying rib designs,varying rib designs,2,611
vertec frame,vertec frame,2,612
vertical frame,vertical frame,2,613
warp yarns,warp yarns,2,614
warped,warped,2,615
warped cane,warped cane,2,616
waterproof liners,waterproof liners,2,617
weapon break,weapon break,2,618
wheel-collapse,wheel-collapse,2,619
which snap,which snap,2,620
whose rest-frame frequency,whose rest-frame frequency,2,621
whose southernmost tip,whose southernmost tip,2,622
wide loop handle,wide loop handle,2,623
wider strap-shaped leaves,wider strap-shaped leaves,2,624
wind energy bumps,wind energy bumps,2,625
wind s energy,wind s energy,2,626
wind turbine installation,wind turbine installation,2,627
wind-and-waterproof trousers,wind-and-waterproof trousers,2,628
wing-folding mechanisms,wing-folding mechanisms,2,629
wireframe pistol grip,wireframe pistol grip,2,630
wooden shaft,wooden shaft,2,631
-spoke alloy wheels,-spoke alloy wheels,1,632
.31 in machine guns,.31 in machine guns,1,633
.5 in machine guns,.5 in machine guns,1,634
0.074 mm,0.074 mm,1,635
0.1 mm,0.1 mm,1,636
0.2 mm,0.2 mm,1,637
0.38 mm,0.38 mm,1,638
0.72 mm,0.72 mm,1,639
1.18 inch,1.18 inch,1,640
1.2 mm,1.2 mm,1,641
10 cm,10 cm,1,642
10 spokes,10 spokes,1,643
10 to 20 cm,10 to 20 cm,1,644
105 mm gun,105 mm gun,1,645
11 non-rib-bearing lumbar vertebrae,11 non-rib-bearing lumbar vertebrae,1,646
120 mm mortar,120 mm mortar,1,647
122 mm shrapnel shell,122 mm shrapnel shell,1,648
149 72 mm,149 72 mm,1,649
15 25 cm,15 25 cm,1,650
15.2 mm fin-stabilized discarding-sabot type,15.2 mm fin-stabilized discarding-sabot type,1,651
155.52 mbit s frame,155.52 mbit s frame,1,652
16 mm,16 mm,1,653
1720 mm,1720 mm,1,654
18.7 cm flute,18.7 cm flute,1,655
1mm thicker aluminum frame sections,1mm thicker aluminum frame sections,1,656
2 cm,2 cm,1,657
2 mm rubber mat,2 mm rubber mat,1,658
2-inch-wide 5 cm belt,2-inch-wide 5 cm belt,1,659
2.0 mm,2.0 mm,1,660
2.9 in .beretta 3032 tomcat covert,2.9 in .beretta 3032 tomcat covert,1,661
20 mm nylon rope,20 mm nylon rope,1,662
20-gram 15.2 mm fin-stabilized discarding-sabot type,20-gram 15.2 mm fin-stabilized discarding-sabot type,1,663
22 mm thick plate,22 mm thick plate,1,664
228 mm,228 mm,1,665
3 in capacity,3 in capacity,1,666
32 37 42 mm,32 37 42 mm,1,667
32 downward pointing spokes,32 downward pointing spokes,1,668
320 mm,320 mm,1,669
36 spokes speakers,36 spokes speakers,1,670
38 mm,38 mm,1,671
39mm kehin flat slide carburetors,39mm kehin flat slide carburetors,1,672
45 degree forward grip assault handle,45 degree forward grip assault handle,1,673
45 mm guns,45 mm guns,1,674
460 mm diameter cast metal bell,460 mm diameter cast metal bell,1,675
5-inch 127 mm mk22 mod 4 rocket,5-inch 127 mm mk22 mod 4 rocket,1,676
5.7 28 mm,5.7 28 mm,1,677
505 break familiale,505 break familiale,1,678
50mm screw mount,50mm screw mount,1,679
559 mm rim,559 mm rim,1,680
56 conventional stretchers,56 conventional stretchers,1,681
6 cm,6 cm,1,682
